title,founders,linkedin,website,description,location
Hippo & Crate,Kenneth Lim,https://www.linkedin.com/in/kenneth-e-lim-king-3538545a/,http://www.hippoandcrate.com/,Brushing is the New Sexy,"SHANGHAI, CHINA"
Miro (ESCHR Holdings Limited),Taylor Host,https://www.linkedin.com/in/taylorhost/,http://miro.io,Computer vision for the body,HONG KONG
Coffee Exchange,Lewis Harding,https://www.linkedin.com/in/lewis-harding/,https://coffee.exchange,Global Green Coffee Trading Platform,"SHANGHAI, CHINA"
CAPSL (Capsl Entertainment Limited),Paddy Markham,https://linkedin.com/in/paddymarkham,http://capsl.cc,A live audio game influencer platform helping creators monetize through competition,HONG KONG
Portfolio.io,Ted Wu,https://www.linkedin.com/in/tedwunj/,https://portfolio.io,Build a portfolio in under 60s,"SHANGHAI, CHINA"
Property Passbook,Colin Bogar,https://cn.linkedin.com/in/colinbogar,https://propertypassbook.com/,Data Driven Wealth Management For Global Real Estate Investments,"SHANGHAI, CHINA"
bitHolla,Adrian Pollard,https://linkedin.com/in/adrian-pollard-holla,http://bitholla.com,Crypto trading platform allowing fastest execution via highly user-friendly interface,"SEOUL, SOUTH KOREA"
BEAM,Kenneth Ho,https://linkedin.com/in/kenetix,https://beamstart.com/,Business Partnerships Platform,"SINGAPORE, SINGAPORE"
NUSIC,Aala Chen,https://www.linkedin.com/in/aala-chen-10247015b/,http://nusic.fm,Music Streaming for the TikTok Generation,HONG KONG
Yem Innovation (美汉施网络科技(苏州)有限公司),Jackie Lu,https://linkedin.com/in/jackie-lu-innovation,http://www.yem-innovation.com,Employee Ideas Management SaaS cloud platform,"SHANGHAI, CHINA"
Allsome,Yi Ying Ng,https://linkedin.com/in/yi2ng2,http://allsome.my,Enabling online merchants to start selling cross-border in seconds,"SHENZHEN, CHINA"
Cartesi,Erick de Moura,https://www.linkedin.com/in/erickdemoura/,http://cartesi.io,The Operating System for DApps,"SINGAPORE, SINGAPORE"
FlashFomo,Jasmine Nicholls,https://www.linkedin.com/in/jasmine-nicholls-nee-lee-aba68530/?originalSubdomain=au,http://flashfomo.com,"Help KOLs design, manufacture, market, and deliver their own branded products","MELBOURNE, AUSTRALIA"
Judolaunch,Chris Rawlings,https://www.linkedin.com/in/chris-rawlings-a4042260,http://judolaunch.com,Launch your product on any global Amazon marketplace,"SAN FRANCISCO, CA"
NewCampus,Fei Yao,https://www.linkedin.com/in/yaofei,https://newcampus.co,A lifelong learning school for professionals excited by change.,"SINGAPORE, SINGAPORE"
B2 Talent Asia,Jonathan Serbin,https://www.linkedin.com/in/jonathan-serbin-57830013/,http://b2talentasia.com,The next generation of pan-Asian talent management,HONG KONG
BuzzKID,Shirley Wang,https://www.linkedin.com/in/shirleywang05/,http://www.buzzbuzzenglish.com,Make Kids Around the World Love Learning a New Language!,"SHANGHAI, CHINA"
Spare Leash Limited,Erin Leigh,http://www.linkedin.com/in/erinleigh33,https://spareleash.com.cn/,Spare Leash your new best friend,"GOTHENBURG, SWEDEN"
Web2ship,Alex Cheong,https://linkedin.com/in/alex-cheong-199615a1,http://web2ship.com,Online platform for postal and courier companies,"PETALING JAYA, MALAYSIA"
AWB Health,Chuan de La Hosseraye,https://www.linkedin.com/in/chuan-de-la-hosseraye-40a5b2/,http://www.awbchina.com/,"Your Personal Health Coach, Anytime, Anywhere","SHANGHAI, CHINA"
eFanswer,Mattia Baldassarre,https://www.linkedin.com/in/mattia-baldassarre,http://efanswer.com,Crowdwriting for fans to co-author their favorite celebrity's social biographies,"ENGLAND, UNITED KINGDOM"
OCheng,Anthony Xu,https://linkedin.com/in/渥明-徐-946742122,http://ocheng.me/,Social CRM powered by AI,"SHANGHAI, CHINA"
Clever Robot Labs,Matt Orlich,http://www.linkedin.com/in/mattorlich,http://cleverrobotlabs.com,AR/VR creation platform,"SHANGHAI, CHINA"
Timepop (also Vibe),Roy Cheng Chen Lu,https://www.linkedin.com/in/roylu1/,http://timepop.app,Create the future,"SAN FRANCISCO, UNITED STATES OF AMERICA"
GloCoach,William Xu,https://linkedin.com/in/andre-gisiger-283933,https://www.glocoach.com/,The first digital platform to drive personal transformation at scale.,"SHANGHAI, CHINA"
iCE Angel - ID,Zona Yim,https://linkedin.com/in/zonayim,http://iceangelid.com,Medical Alert and Emergency ID (MedicAlert),HONG KONG
Jianghu,Anthony Wong,https://linkedin.com/in/anthonywongesports,http://jianghu.gg,Professional esports team ownership group,"SHANGHAI, CHINA"
MediStar,Claire Wang,https://linkedin.com/in/claire-wang-92193952,http://medi-star.com,Telemedicine solutions for Chinese cancer patients,"SHANGHAI, CHINA"
NoshPos,Alexander Weng,http://linkedin.com/in/alexander-weng,http://noshpos.cn/,All-In-One Solution for F&B Delivery Businesses,"SHANGHAI, CHINA"
Digital Asset Network,Richard Foster, , ,,"LONDON, UNITED KINGDOM"
Guiddoo World,Vineet Budki,https://linkedin.com/in/vineetbudki,http://guiddoocn.com,Travel Agent Platform for In-Destination Activities & Customised Holidays.,"MUMBAI, INDIA"
Mobio Interactive,Mark Thoburn,https://www.linkedin.com/in/markthoburn,http://midigitaltherapeutics.com,Effective and Accessible Healthcare for Every Human,"TORONTO, ON, CANADA"
COOLHOBO,Loic Kobes,https://cn.linkedin.com/in/loïc-kobes-26a1711b,https://www.coolhobo.com/en/home,ARVR shopping,"SHENZHEN, CHINA"
KalaGato,Himanshu Dhakar,https://linkedin.com/in/aman-kumar-28bbb43a,http://kalagato.co,"Automate customer profiling, segmentation, and targeting based on consumer behavior data","NEW DELHI, INDIA"
SuperWorld,Hrish Lotlikar,https://linkedin.com/in/hrishlotlikar,http://superworldapp.com,MAKE THE WORLD YOURS,CALIFORNIA
BuildPan,Vaibhav Tiwari,https://linkedin.com/in/vaibhav-tiwari-747537a,http://buildpan.com,"Build, Test & Deploy","SINGAPORE, SINGAPORE"
Genetsis E-Commerce,German Torrado,https://www.linkedin.com/in/germantorrado/,https://www.g-commerce.cn/,The SaaS to boost profitability of global brands on-line business through on-time data,HONG KONG
Huviair Technologies,Vikshut Mundkur,https://linkedin.com/in/vikshut-mundkur-69186017,http://huviair.com,Drone & visual analytics for construction and mining sector,"BANGALORE, INDIA"
Lattis,Jack Al-Kahwati,https://linkedin.com/in/jackalkahwati,http://lattis.io,Next-generation software platform powering multimodal micromobility.,"SAN FRANCISCO, CA"
Neufast,Dennis Lee,https://www.linkedin.com/in/dr-dennis-lee-2647091b/,http://neufast.com,HR Tech of the Future,HONG KONG
Rosetta.ai,Alice Li,https://www.linkedin.com/in/yt-alice-li/,https://rosetta.ai,Increase conversion rate by analyzing consumers’ shopping behavior with deep learning,TAIPEI
Voilà!,Ke Shang,https://linkedin.com/in/ke-shang-357b1937,http://www.voila.love,Awaken US social commerce,"NEW YORK CITY, NY"
XIXILAB,Miliyun Chiu,https://www.linkedin.com/in/miliyun/,http://xixilab.com,"High quality, affordable and convenient teeth straightening services with invisible braces","SHANGHAI, CHINA"
Dataforge,Peter Yang,https://linkedin.com/in/peter-yang-6abb0336,http://dataforge.ai,Forge your AI with better data,"TORONTO, ON, CANADA"
GetCraft,Patrick Searle,https://linkedin.com/in/patricksearle,http://getcraft.com,Unleash The Craft,"JAKARTA, INDONESIA"
Lucidefi,Sungmin Aum,https://www.linkedin.com/in/sungminaum,https://www.lucidefi.ai,Defi Terminal with AI filter,"SEOUL, SOUTH KOREA"
VegaX,Sang Lee,https://linkedin.com/in/sanglee01,https://vegaxholdings.com/,The BlackRock of Digital Asset Management: one-stop access to secure crypto strategies,"SEOUL, SOUTH KOREA"
Yumi,Adrian Lai,https://linkedin.com/in/viviantothill,https://yumi.us/,Social commerce for all,"SHANGHAI, CHINA"
AMMA Pregnancy Tracker,Evgeniy Zhiharev,https://www.linkedin.com/in/evgeniyzhikharev/,http://pregnancytracker.app,Helpful app for pregnant women,HONG KONG
Aro Entertainment,Ted Hopkins,https://linkedin.com/in/ted-hopkins-0171a715,http://aro-entertainment.com,ARO helps western celebrities sell merchandise in China.,HONG KONG
BizBaz,Hayk Hakobyan,http://www.linkedin.com/in/haykhakobyan,https://bizbaz.tech/,Intelligent Finance,"SINGAPORE, SINGAPORE"
Braingaze,Laszlo Bax,https://linkedin.com/in/laszlo-bax-a334a7,http://braingaze.com,Digitalize diagnosis and treatment for cognitive disorders,"MATARÓ, SPAIN"
ExpoPromoter,Melody Ding,https://www.linkedin.com/in/melody-ding-b1358296/detail/photo/,http://expopromoter.com/,Exhibition attendee acquisition platform,"SHANGHAI, CHINA"
Learn2Play,Ilya Kolesnikov,https://www.linkedin.com/in/ilya-k/,http://l2p.game,International esports EdTech company offering gamers a platform to improve their skills.,"LIMASSOL, CYPRUS"
Portier Technologies Corporation,Ivan Kovacevic,https://www.linkedin.com/in/kovacevicivan/,https://goportier.com/#/,Actioning the World's Richest Traveler Data to Access the Traveler Wallet,HONG KONG
Seaquake,Dylan Knight,https://linkedin.com/in/dylandknight,http://seaquake.io,Increase trading volumes for crypto exchanges by improving liquidity and market making,"SAN FRANCISCO, UNITED STATES OF AMERICA"
Klaud9,Eduard Busquets,https://www.linkedin.com/in/edubusquets/?originalSubdomain=es,http://klaud9.com,Professional photoshoots in 24 hours for your business,"SINGAPORE, SINGAPORE"
MikeLegal,Tushar Bhargava,https://linkedin.com/in/tusharbhargava,http://mikelegal.com,Your AI powered legal associate,"GURGAON, INDIA"
TheFutures.io,Mariano Godoy,https://www.linkedin.com/in/mariano-godoy-22735717/,http://thefutures.io,World-class graphic design delivered in less than 24 hours.,"LONDON, UNITED KINGDOM"
Esports Charts,Igor Krivich,https://www.linkedin.com/in/krivich-igor/,http://escharts.com,Metrics that enable proper advertising & sales  in esports and online broadcasting,"KIEV, UKRAINE"
Oz Content,Matt Lovett,https://linkedin.com/in/mattlovett,http://ozcontent.com,Content ideation Saas platform for content marketers in brands and agencies.,"NEW YORK CITY, NY"
Toch,Saket Dandotia,https://www.linkedin.com/in/saket-dandotia-a4686932/,https://toch.ai/,Video Meta-Data Platform,"MUMBAI, INDIA"
Tourplus,Rickson Goh,https://linkedin.com/in/ricksongoh,https://www.tourplus.my,Personalize Your Travel Experience,"KUALA LUMPUR, MALAYSIA"
247,Anna Bennett,https://linkedin.com/in/anna-bennett-78a7a3a5,https://www.247tickets.com,B2B & B2C Bilingual English-Chinese Booking Platform for China,"SHANGHAI, CHINA"
Codejudge,Nilesh Agarwal,https://www.linkedin.com/in/nilesh-agarwal/,https://codejudge.io,Codejudge is a platform that enables skill based hiring for recruiters,"LOS ANGELES, CA"
Deyor Camps,Chirag Gupta,https://www.linkedin.com/in/cg911/,http://deyorcamps.com,A lifestyle community for Indian millennials through online experiences and trips,"GURGAON, INDIA"
FASHORY,Emmy Teo,https://linkedin.com/in/emmyteo?authtype=name_search&authtoken=okoq&locale=en_us,http://thefashory.com,Short-term retail spaces in high traffic locations 为高流量地区的短期零售空间提供按需服务支持,"SHANGHAI, CHINA"
Foowala,Charles Zeng,https://linkedin.com/in/charles-zeng-2107912b,http://foowala.com,The Thumbtack of China,"SHANGHAI, CHINA"
LUXSENS,Aidaa Wong,https://www.linkedin.com/in/aidaa-wong-9031b114b/,http://luxsens.com,AI technology company connecting luxury merchants to consumers,HONG KONG
MotionsCloud,Sereyboth Van,https://www.linkedin.com/in/sereyboth-van-436a7632/,http://motionscloud.com,Claims automation engine for property and vehicle insurers powered by computer vision,"MUNICH, GERMANY"
Piktochart,Andrea Zaggia,https://linkedin.com/in/andreazaggia,http://piktochart.com,Creating data stories and making information beautiful,"GEORGE TOWN, CAYMAN ISLANDS"
