title,founders,linkedin,website,description,location
Flair,Kenny Tay,https://linkedin.com/in/kenny-tay-4b478233,http://flair.co,Smart Vents and Wireless Thermostats,"SAN FRANCISCO, CA"
Smart Shepherd,Glenn Vassallo,https://linkedin.com/in/glennvassallo,http://smartshepherd.com.au,Breed Better,"ARMIDALE, AUSTRALIA"
Lilu,Sujay Suresh Kumar,https://www.linkedin.com/in/sujaysuresh,http://wearlilu.com,Technology to empower new moms,"NEW YORK CITY, NY"
Robo Wunderkind,Anna Iarotska,https://at.linkedin.com/in/annaiarotska,http://robowunderkind.com,Robo Wunderkind enables kids aged 5+ start building & programming robots in minutes.,"VIENNA, AUSTRIA"
unspun,Walden Lam,https://www.linkedin.com/in/walden-lam-a353a8a,http://unspun.io,customized and automated manufacturing for apparel,"SAN FRANCISCO, CA"
Bisu,Eli Lyons,https://www.linkedin.com/in/elilyons,http://www.bisu.bio,Smart urine analyzer for personalized health & fitness coaching,"TOKYO, JAPAN"
"Walkies Lab, Inc.",Takakazu Fujimoto,https://ca.linkedin.com/in/takaf51,http://walkieslab.com,Smart wearable toy for toddlers,"VANCOUVER, BC, CANADA"
Digi Bio,Frido Emans,https://linkedin.com/in/frido-emans-35571033,http://digi.bio,Programmable bio-chips to automate experiments.,"AMSTERDAM, NETHERLANDS"
Eno (Prev. Mindset),Warren Robinson,https://www.linkedin.com/in/wtrobinson/,http://enophone.com,Smart headphones that improve your concentration,"MONTREAL, QC, CANADA"
Grobo,Bjorn Dawson,https://www.linkedin.com/in/bjorndawson,http://grobo.io,Grow more using less.,"WATERLOO, ON, CANADA"
Nuada,Fernando Nogueira,https://linkedin.com/in/fernando-nogueira-bbb1441,http://nuada.pt,Exoskeleton Glove,"BRAGA, PORTUGAL"
Oyalabs,Lamont Tang,https://www.linkedin.com/in/lamont-tang-b642073,http://www.voxtot.com,Language development during the critical periods,"SAN FRANCISCO, CA"
Vue Smart Glasses,Jason Gui,https://linkedin.com/in/jasongui,http://vueglasses.com,Your Everyday Smart Glasses,"SAN FRANCISCO, CA"
WakeCap,Ishita Sood,https://www.linkedin.com/in/ishita-sood-kochhar-0a343636/,http://www.wakecap.com,Improving Safety and Productivity in Construction,"DUBAI, UNITED ARAB EMIRATES"
Breezi,Matthew Craver,https://www.linkedin.com/in/mdcraver/,http://breezi.io,Enabling homeowners to detect problems with their HVAC systems using wireless devices,"SAN FRANCISCO, CA"
Flow Neuroscience,Daniel Mansson,https://linkedin.com/in/daniel-m%c3%a5nsson-adenmark-9a0b987b/en,http://flowneuroscience.com,Brain stimulation wearable and app-based therapy to treat clinical depression,"MALMÖ, SWEDEN"
JOY,Sam Hickmann,https://www.linkedin.com/in/samhickmann,http://heyjoy.io,Smartwatch to teach kids good habits,"SAN FRANCISCO, UNITED STATES OF AMERICA"
Mesh++,Danny Gardner,https://www.linkedin.com/in/danny-gardner-186203a8/,https://meshplusplus.com/,Solar-powered WiFi routers,"CHICAGO, IL"
RockMass Technologies Inc.,Matthew Gubasta,https://www.linkedin.com/in/mgubasta/,http://rockmasstech.com,"Mobile 3D mapping providing efficient, accurate, and safe numerical measurements.","TORONTO, ON, CANADA"
Strados Labs,Nick Delmonico,https://linkedin.com/in/nicksdelmonico,http://stradoslabs.com,Making Every Breath Count,"PHILADELPHIA, PA"
Bold Diagnostics,Sean Connell,https://www.linkedin.com/in/sean-connell-4ba27a1b/,http://bolddiagnostics.com,Developing a diagnostic platform for blood pressure monitoring utilizing a novel parameter,"CHICAGO, IL"
CRIAMTech,Filipe Quinaz,https://pt.linkedin.com/in/filipequinaz,http://www.criamtech.com,Point of Care Diagnostic Platform,"LISBON, PORTUGAL"
Lief Therapeutics,Rohan Dixit,https://linkedin.com/pub/rohan-dixit/33/3a8/545,https://getlief.com/,Lief is a wearable that helps you combat stress.,"SAN FRANCISCO, CA"
Nordetect,Keenan Pinto,https://www.linkedin.com/in/keenan510/,http://nordetect.com/,Diagnostics for Agriculture,"COPENHAGEN, DENMARK"
NotifAi,Sean Heath,https://www.linkedin.com/in/seancheath/,http://notifai.io,Enterprise Asset Protection,"ALISO VIEJO, CA"
TEAMOSA,Ken Ou,https://www.linkedin.com/in/irven-liu/,http://teamosa.com,Tea Brewing Platform with  Compostable Capsules,"GAITHERSBURG, MD"
Wastack,Julien Chosson,https://linkedin.com/in/julienchosson,http://wastack.com,Automating landfill operations,"MONTREAL, QC, CANADA"
Zennea Technologies,Rachel Chase,https://www.linkedin.com/in/rchase105/,http://zenneatech.com,Sleep more. Do more.,"VANCOUVER, BC, CANADA"
Amper,Sachin Lal,https://linkedin.com/in/sachinlal,http://amper.xyz,Real time machine analytics for factory owners.,"EVANSTON, IL"
