title,founders,linkedin,website,description,location
Ember Medical Inc,Shadi Wahba,https://www.linkedin.com/in/shadiwahba/,http://embermed.com,Democratizing Telemedicine,"ATLANTA, GA"
Koniku Inc.,Osh. Agabi,https://www.linkedin.com/in/agabi,http://koniku.com,_ for you™,"BERKELEY, CA"
BioROSA Technologies Inc.,Marie Causey,https://linkedin.com/in/mariecausey,http://biorosa.com,Creating a biologically-based diagnostic standard of care for Autism Spectrum Disorders,"BOSTON, MA"
NovoNutrients,Bill Coleman,https://www.linkedin.com/in/william-j-coleman-37784928/,http://novonutrients.com,Food from CO2,"SUNNYVALE, CA"
Health Linkages,Robert Barkovich,https://linkedin.com/in/robertbarkovich,http://healthlinkages.com,The Data Provenance Company,"MOUNTAIN VIEW, CA"
QuantumCyte,Bidhan Chaudhuri,https://www.linkedin.com/in/bidhan-chaudhuri-a68b002/,http://quantumcyte.com,Leveraging digital biology and precision genetics towards personalized medicine.,"SUNNYVALE, CA"
Quartolio,Nicole Bishop,https://www.linkedin.com/in/nicolebishoptech,http://quartolio.com,"Know More, Sooner","NEW YORK CITY, NY"
Sugarlogix,Kulika Chomvong,https://linkedin.com/in/kulika-chomvong,https://www.sugarlogix.com,Recreating the best-kept secret in human breast milk,"BERKELEY, CA"
Chronus Health,Anand Parikh,https://www.linkedin.com/in/anandparikh/,http://chronushealth.com,"Point-of-care lab results in minutes, not days","MANHATTAN BEACH, CA"
NURO CORP,Francois Gand,https://www.linkedin.com/in/fgand/,http://nuro.ca,Using brain signals enables instant communication and computing for incapacitated patients,"WATERLOO, ON, CANADA"
STÄMM,Federico Vegh,https://www.linkedin.com/in/federicodalviavegh/,http://stamm.bio,Biomanufacturing Everywhere,"BUENOS AIRES, ARGENTINA"
11BIOMICS,Jeff Holland,https://www.linkedin.com/in/jeffrey-holland-lcsw-037573176/,http://11biomics.com,We help plants make exceptional medicine,"ALBUQUERQUE, NM"
Clinicai,Medina Baitemirova,https://www.linkedin.com/in/medinabaite/,http://clinicai.com,Monitoring health for early gastrointestinal cancer detection,"SAN FRANCISCO, CA"
Convalesce Inc,Subhadeep Das,https://www.linkedin.com/in/subhadeep-das/,http://convalesce.co,Stem Cell Therapy for Neurodegenerative Diseases,"MUMBAI, INDIA"
Diadem Biotherapeutics,Woytek Bartkowski,https://www.linkedin.com/in/woytek-bartkowski-05835a10/,http://diadembio.com,Engineering the next class of biologics to treat chronic inflammatory diseases.,"LOS ANGELES, CA"
Pheronym,Cameron Schiller,https://linkedin.com/in/cameron-schiller-a729916,http://pheronym.com,Directed plant protection,"DAVIS, CA"
Stelvio Therapeutics,Attila Hajdu,https://linkedin.com/in/attila-hajdu-mba-msc-08828911,http://stelvio-oncology.com,Developing therapies through epigenetics,"SAN DIEGO, CA"
DNALite,Mubhij Ahmad,https://www.linkedin.com/in/timothy-day-49442110a/,http://dnalite.com,Gene Therapy for Familial Adenomatous Polyposis,"SAN FRANCISCO, CA"
Oralta,Jeffrey Banas,https://www.linkedin.com/in/kishore-nannapaneni-6741204,http://oralta.com,Probiotics for your oral biome,"SAN FRANCISCO, CA"
Serenity Bioworks,Spencer Berg,https://www.linkedin.com/in/spenceritberg/,http://serenitybioworks.com,Developing an immune tolerance platform for biologics,"WATERLOO, ON, CANADA"
StemXegend,Chunli Zhao,https://linkedin.com/in/chunli-zhao-92b54761,https://www.stemxegend.com,Cell immunotherapy for cancers,"REDWOOD CITY, CA"
UBA Biologix,Kagiso Ubane,https://linkedin.com/in/ubane-kagiso-a0809b40,https://www.ubabiologix.co/,"Bringing life to water, and water to life","SAN FRANCISCO, CA"
microTERRA,Marissa Flores,https://linkedin.com/in/marissa-cuevas-flores-6a86bba3,http://microterra.com.mx,Powering the plant based future,"MEXICO CITY, MEXICO"
Microgenesis,Agustina Azpiroz,https://www.linkedin.com/in/mar%C3%ADa-agustina-azpiroz-b95a1194/,http://microgenesis.net,A new fertility test and treatment for women everywhere,"OAKLAND, CA"
Nyoka Design Labs,Yamila Franco,https://www.linkedin.com/in/paige-whitehead-bb27b1b1/,http://lightbynyoka.com,Growing light for a brighter future,"BRITISH COLUMBIA, CANADA"
Beemmunity,James Webb, ,http://beemmunity.co,Protecting pollinators with pesticide detoxification technology,"NEW YORK CITY, NY"
Carbix,Vinit Dighe,https://www.linkedin.com/in/samipdesai1/,http://carbixcorp.com,We transform CO2 into building materials.,"QUINCY, MA"
Free to Feed,Trillitye Paullin,https://www.linkedin.com/in/trillitye-paullin/,http://freetofeed.com,Helping parents navigate food allergies,"BOISE, ID"
Scindo,Juliet Sword,https://www.linkedin.com/in/julietsword/,http://scindo.bio,Making every plastic biodegradable,"LONDON, UNITED KINGDOM"
Sequential Skin,Oliver Worsley,http://www.linkedin.com/in/oliverworsley,http://sequentialskin.com,The world's first at-home genetic and skin microbiome test,"LONDON, UNITED KINGDOM"
BrickBuilt Therapeutics,Brian Klein,https://www.linkedin.com/in/brian-klein-a316b248,https://www.brickbuilttx.com/,Microbiome-focused therapeutics for diseases of the oral cavity,"BOSTON, MA"
Brightcure Ltd.,Chiara Heide,https://www.linkedin.com/in/chiara-heide/?originalSubdomain=uk,http://bcure.co.uk,Next-generation microbiome femcare for a healthy urinary tract,"LONDON, UNITED KINGDOM"
Bucha Bio,Zimri T. Hinshaw,https://www.linkedin.com/in/zimri-t-hinshaw-b43168187/,https://bucha.bio,Animal-free leather grown from bacteria nanocellulose,"PHILADELPHIA, PA"
Advanced Microbubbles,Connor Slagle,https://www.linkedin.com/in/connorslagle/,http://advancedmicrobubbles.com,Enabling Safe and Precise Chemotherapy using Ultrasound Triggered Microbubbles,"SAN FRANCISCO, UNITED STATES OF AMERICA"
Harmony Baby Nutrition,Wendel de Oliveira Afonso,https://www.linkedin.com/in/wendelafonso/,http://harmonybabynutrition.com,Developer of breast milk protein-based formulas,"BOSTON, MA"
AsimicA,Jacob Guidry,https://www.linkedin.com/in/jacob-guidry-4882451a9/,http://asimica.com,Boosting microbial fermentation with our innovative Microbial Stem Cells,"LARAMIE, UNITED STATES OF AMERICA"
Cybele Microbiome,Eddie Adams,https://linkedin.com/in/eddie-adams-phd,http://cybelemicrobiome.com,A new D2C brand for skincare health,"SAN DIEGO, CA"
Cayuga Biotech,Kyle Ploense,https://www.linkedin.com/in/kyle-ploense-0b708792/,https://www.cayugabiotech.com/,Providing unmatched treatments that address all forms of bleeding,"NEW YORK CITY, NY"
Halomine,Gregory Bertsch,https://www.linkedin.com/in/greg-bertsch-0a804791/,http://halomine.com,HaloFilm Extends the Life of Your Chlorinated Disinfectant,"ITHACA, NY"
Michroma,Mauricio Braia,https://www.linkedin.com/in/mauricio-braia-28834178/,http://michroma.co,Novel bio-colorants through biotechnology,"ROSARIO, ARGENTINA"
Spintex,Martin Frydrych,https://www.linkedin.com/in/martin-frydrych/,http://spintex.co.uk,Spider-inspired spinning for next generation of sustainable and high-performance silk.,"OXFORD, UNITED KINGDOM"
Allied Microbiota,Ray Sambrotto,https://www.linkedin.com/in/ray-sambrotto,http://alliedmicrobiota.com,"We use microbes to clean soil, turning brownfield into greenfield.","STONY BROOK, NY"
Kraken Sense,Jamal Zeinalov,https://www.linkedin.com/in/jazei/,http://krakensense.com,We have developed a new way to rapidly detect pathogens in the food supply chain,"MISSISSAUGA, ON, CANADA"
Reazent,Sumit Verma,https://www.linkedin.com/in/sumitv/,http://reazent.com,Making agriculture sustainable and efficient.,"HALIFAX, NS, CANADA"
Agrisea,Rory James Hornby,https://www.linkedin.com/in/rory-hornby-92792318a/?originalSubdomain=uk,http://agrisea.co.uk,We grow rice in the oceans.,"SAN FRANCISCO, CA"
Indee Labs,Ryan Pawell,https://www.linkedin.com/in/rpawell,https://www.indeelabs.com/,indee labs is developing scalable hardware for gene delivery.,"SAN FRANCISCO, CA"
multus media,Reka Tron,https://www.linkedin.com/in/rekatron,http://multus.media,Creating animal-free growth media for the cultivated meat industry.,"LONDON, UNITED KINGDOM"
"NeuroQore, Inc.",Adrian Chan,https://www.linkedin.com/in/adriandcchan/,http://neuroqore.com,Breakthrough rapid treatment for major depressive disorder and imminent risk of suicide,"SAN FRANCISCO, CA"
Pando Nutrition Inc.,Craig Rouskey,https://linkedin.com/in/craig-rouskey-a27a6794,http://pandonutrition.com,The Animal Microbiome Company.,"ATLANTA, GA"
Pembient,Matthew Markus,https://linkedin.com/in/matthewmarkus,http://pembient.com,Bioengineered Wildlife Products,"SEATTLE, WA"
Qidni Labs Inc.,Andrew Mendonca,https://linkedin.com/in/andrewmendonca,http://qidni.com,Implantable artificial kidneys for end stage renal disease,"KITCHENER, ON, CANADA"
