title,founders,linkedin,website,description,location
Goama,Wayne Kennedy,https://www.linkedin.com/in/wkennedy/,http://www.goama.com,Gamification Made Easy,SINGAPORE
BigGo,Marco Mirabella,https://linkedin.com/in/marco-mirabella-294256a6,http://funmula.com,Price Search Engine and Aggregator for E-commerce,TAIPEI
Flickstree,Saurabh Singh,https://linkedin.com/in/saurabh-singh-8415b4a,https://flickstree.com,"Indian video content for telcos, phone brands and Internet sites","MUMBAI, INDIA"
Coutloot,Jasmeet Thind,https://linkedin.com/in/jasmeetthind,http://coutloot.com,Taobao for India enabling consumers to sell to consumers,"MUMBAI, INDIA"
Fleksy,Francesc Garcia,https://www.linkedin.com/in/fgojalvo/,https://www.fleksy.com/,Smart keyboard assistant,"LONDON, UNITED KINGDOM"
Phable,Sumit Sinha,https://www.linkedin.com/in/sumitvsinha/,http://phablecare.com,Mobile App for Patients and Doctors,"BANGALORE, INDIA"
UNL,Xander Van Der Heijden,https://linkedin.com/in/xander-van-der-heijden-14037112,http://unl.global,We are the Internet of Places,"SINGAPORE, SINGAPORE"
ClearDekho,Shivi Singh,https://www.linkedin.com/in/shivi-singh-68961323/,http://www.cleardekho.com,Warby Parker for Emerging Mass Market Consumers,"GHAZIABAD, INDIA"
Billo,Donatas Smailys,https://www.linkedin.com/in/smailys/,http://billo.app,Brand advocacy made simple!,LITHUANIA
Aptapp PTE Ltd,Alok Singh,https://linkedin.com/in/alokalokk,http://aptapp.mobi/,Gifting/Commerce/Shopping on Mobile,"GURGAON, INDIA"
Mycashback.co,Sarun Vichayabhai,https://th.linkedin.com/in/sarun-vichayabhai-a7b6a525,http://mycashback.co,Fastest cashback in the world. We pay in 1 day.,"BANGKOK, THAILAND"
MIFON Labs PTE ltd,Abhijit Barua,https://www.linkedin.com/in/abhijitbarua,https://www.mifon.mobi,Never Lose Your Phone Again,"SINGAPORE, SINGAPORE"
Primo,Vee Sirasoontorn,https://www.linkedin.com/in/vee-sirasoontorn-9014658/,http://primo.mobi,Foster deeper relationship,"BANGKOK, THAILAND"
LeapMe,Vitaly Krassavsky,https://www.linkedin.com/in/barry-roach-b4020b25/,https://leapme.app/,LeapMe is your key to unlocks 1:1 offers,TAIPEI
Phone Par Loan,Ashwin Bhambri,https://linkedin.com/in/ashwin-bhambri-85776b60,http://phoneparloan.in,Payday loans for the underbanked in India,"NEW DELHI, INDIA"
HotTab,Nicolas Campourcy,https://www.linkedin.com/in/nicolas-campourcy-1673817/,http://hottab.net,Digitize food and beverage industry,"HANOI, VIETNAM"
Mirakee,Alankrita Sood,https://www.linkedin.com/in/alankrita-sood-b7130b37/,http://mirakee.com,"Showcase your poems, quotes, stories and any kind of write-ups.","NEW DELHI, INDIA"
CivilCops,Kusha Kohli,https://www.linkedin.com/in/kusha-kohli/,http://civilcops.com,Social intelligence govtech for smart cities,"DELHI, INDIA"
Giladiskon,Fandy Santoso,https://www.linkedin.com/in/fandysantoso/,https://www.giladiskon.com,Social buying club where 1.5m Indonesian members get exclusive deals and discounts,"JAKARTA, INDONESIA"
Screea,William Chiang,https://linkedin.com/in/william-chiang-9b993958,https://www.screea.com,A universal loyalty platform where one can earn and spend cashback points all in one app.,TAIPEI
WhatsCut Pro,Vikas Shrivastava,https://www.linkedin.com/in/vikas-shrivastava-3999727/,http://whatscutpro.com,Content Platform,"BANGALORE, INDIA"
RadioCut,Milena Armada,https://www.linkedin.com/in/milenaarmada/,https://radiocut.fm,"Listen, cut, share","BUENOS AIRES, ARGENTINA"
Natbay,Pichaya Jomsiriwatana,https://www.linkedin.com/in/ponwarinn-pobponphat/,https://www.natbay.com/,Farfetch of Southeast Asia,THAILAND
Cashfi,Heewon Kim,https://linkedin.com/in/heewon0605,http://cashfi.me,Wi-Fi Sharing Platform,"SEOUL, SOUTH KOREA"
CITYDATA,Apurva Kumar,https://linkedin.com/in/apukumar,http://citydata.ai,"CITYDATA knows ""How many people in your city and what are the mobility patterns?""","SAN FRANCISCO, CA"
DeliverFuel,Vishvadeep Nagi,https://www.linkedin.com/in/vishvadeep-nagi-471455112/,http://deliverfuel.co.in,"India’s first fully licensed, on-demand fuel delivery service","NEW DELHI, INDIA"
MobiGarage,Vaibhav Kapoor,https://linkedin.com/in/vaibhavvkapoork,http://mobigarage.com,Digitizing India’s second-hand smartphone market,"NEW DELHI, INDIA"
Peeper,Hyunjae Choi,https://linkedin.com/in/hyunjaechoi,http://www.peeper.co,Audio Q&A based social media,"SEOUL, SOUTH KOREA"
Pencil,Swarup Nanda,https://linkedin.com/in/swarupnanda,https://thepencilapp.com/,Bringing audience data and analytics to book publishing,"MUMBAI, INDIA"
Vani,Sparsh Agrawal,https://linkedin.com/in/sparsh-agrawal-520077122,https://www.vaniassistant.com/,Intelligent voice assistant for Indian local languages,"DELHI, INDIA"
Bubbleye,Stefano Roncari,https://linkedin.com/in/stefanoroncari,http://bubbleye.com,Bubbleye - User acquisition autopilot,TAIPEI
Kravve,Teh Yong Lin,https://www.linkedin.com/in/tehyonglin,https://kravve.co,The Etsy of Food,MALAYSIA
Moodah,Alexander Sie To,https://www.linkedin.com/in/alexandersieto/,http://moodah.id,Helping mom-and-pop shops digitize,"JAKARTA, INDONESIA"
Oomph,Stanley Tan,https://www.linkedin.com/in/stanley-tan-a744789/,http://oomph.co.id,Indonesia Largest Android Engagement Platform,"JAKARTA, INDONESIA"
PriceOye,Adeel Shaffi,https://linkedin.com/in/adeelshaffi,http://priceoye.pk,Pakistan’s leading eCommerce platform for electronics and smartphones,"ISLAMABAD, PAKISTAN"
Styleseller,Jaeyun Jung,https://www.linkedin.com/in/stylesellerceo/,https://www.corp.styleseller.co.kr/,Marketing & commerce platform where buyers voluntarily participate in brand marketing,"SEOUL, SOUTH KOREA"
Supplynote,Abhishek Verma,https://www.linkedin.com/in/abhishekverma17/,https://www.supplynote.in/,Procurement management suite for restaurants,"NOIDA, INDIA"
Tokn,Qamar Siddiquie,https://www.linkedin.com/in/qamar-siddiquie-36b0a418/,http://tokn.in,Helping 30 million Indian local retailers get new customers via cross promotion,"MUMBAI, INDIA"
Betagged,Shamik Talukder,https://linkedin.com/in/shamikt,http://betagged.co,"Influencer marketing platform with deep analytics, delivering 40% higher ROI for brands","SINGAPORE, SINGAPORE"
Blink,Sair Ali,https://www.linkedin.com/in/syedsairali/?originalSubdomain=pk,https://www.blinkco.io/ar/,Shopify for restaurant's ordering system and delivery service,"KARACHI, PAKISTAN"
Chekk,Benjamin Petit,https://linkedin.com/in/benjaminpetit,http://www.chekk.me,Digital Identity and eKYC,HONG KONG
DemystData,Mark Hookey,https://www.linkedin.com/in/markhookey/,http://demyst.com,Data Integration Technology for Financial Services,"NEW YORK CITY, NY"
NewsPlus,Kiran Sarvabhotla,https://www.linkedin.com/in/kiransarvabhotla/?originalSubdomain=in,https://newsplusapp.com,Real News From Trusted Sources,"HYDERABAD, INDIA"
Playtoome,Keerthivasan Subramaniam,https://www.linkedin.com/in/keerthivasan-subramanian-78396936/,https://www.playtoome.com,TikTok meets Live Nation,"BANGALORE, INDIA"
Superpro.ai,Vivek Kumar,https://www.linkedin.com/in/vivek-kumar-sharma/?originalSubdomain=in,https://superpro.ai,Enabling independent professionals to bring offline consulting online with AI,"BANGALORE, INDIA"
Verismart,Saurabh Gupta,https://linkedin.com/in/saurabh-gupta-61805825,http://verismart.ai,Identity and personal data management platform leveraging blockchain to drive KYC,"DELHI, INDIA"
Wallet Engine,Gregor Arn,https://www.linkedin.com/in/gregorarn,http://walletengine.io,Embedded finance for cross-border apps,"SINGAPORE, SINGAPORE"
Whycall,YoungJung Yun,https://www.linkedin.com/in/youngjung-yun-268b0356/,http://www.evain.co.kr/?ckattempt=2,The world's smartest spam alert service,"GWANGJU, SOUTH KOREA"
24seven.pk,Jarrar Shah,https://linkedin.com/in/jarrarshah,http://24seven.pk,Grocery e-commerce platform serving 200 million Pakistanis,"LAHORE, PAKISTAN"
Bistrochat,Hacene Taibi,https://linkedin.com/in/alexandresonier,http://bistrochat.com,"Restaurant management software for the chat age, with superior NLP capabilities",HONG KONG
Dastgyr Technologies,Zohaib Ali,https://linkedin.com/in/zohaib-ali-21388b4a,http://dastgyr.com,B2B marketplace that connects small-scale retailers with manufacturers and suppliers,"LAHORE, PAKISTAN"
Dogether,Hammad Jilani,https://www.linkedin.com/in/iamjilani/,https://www.letsdogether.com/,Bringing social back by connecting like-minded people over curated unique experiences.,"MUMBAI, INDIA"
