title,founders,linkedin,website,description,location
Sempo,Tristan Cole,https://linkedin.com/in/tristanhcole,https://withsempo.com,Inclusive financial infrastructure for emerging markets,"MELBOURNE, AUSTRALIA"
Crayonic,Peter Kolarov,https://linkedin.com/in/pkolarov,http://crayonic.com,"Bank grade passwordless security for authentication, digital assets and eSignatures","EINDHOVEN, NETHERLANDS"
API3,Heikki Vänttinen,https://www.linkedin.com/in/heikki-v%C3%A4nttinen-83a86380/,https://api3.org/,API3 connects blockchain based smart contracts to real world data,"LISBON, PORTUGAL"
"Catallact, Inc.",Paul Lewis,https://www.linkedin.com/in/paulwjlewis,https://www.catallact.com,Catallact is a provider of on-chain data and analytics to the finance industry,"LONDON, UNITED KINGDOM"
Helixworks,Sachin Chalapati,http://linkedin.com/in/sachin-c-1309532b,http://helix.works,Linking physical assets to digital ledgers,"CORK, IRELAND"
Credmark,Neil Zumwalde,https://www.linkedin.com/in/neilzumwalde/,http://credmark.com,High-integrity DeFi data & risk modeling,"SINGAPORE, SINGAPORE"
Tesseract,Daniel Leping,https://www.linkedin.com/in/danielleping,https://tesseract.one,Platform to build decentralised applications without adoption barriers,"NEW YORK CITY, NY"
Quidli,Justin Ahn,https://www.linkedin.com/in/ahnjustin/,https://quid.li,"Offer crypto as perks to your employees, team members & contributors","PARIS, FRANCE"
Composable Finance,Cosmin Grigore,https://www.linkedin.com/in/grigorecosmin/,http://composable.finance,Hyper liquidity infrastructure layer for Defi assets,"BERLIN, GERMANY"
Diwala,Thea Sommerseth Myhren,https://www.linkedin.com/in/theasommerseth/,https://diwala.io/,"A platform for digital identities, credentialing, and verification","OSLO, NORWAY"
FleetOperate,Yash Kuntavalli,https://www.linkedin.com/in/yashavanthkuntavalli/,https://fleetoperate.com,On-demand Driver-as-a-Service platform for the Trucking Industry,"WINNIPEG, MB, CANADA"
Goblin,Tarik Ansari,https://www.linkedin.com/in/tarikansari/,https://goblincompute.com,Get paid for your content with your readers' compute power,"NEW YORK CITY, NY"
Verifoxx,Roisin Meehan,https://www.linkedin.com/in/róisínm-verifoxx,http://verifoxx.com,Identity Verification that puts privacy first,"LONDON, UNITED KINGDOM"
dcSpark,Nicolas Arqueros,https://linkedin.com/in/nicol%C3%A1s-arqueros-05a26529,http://dcspark.io,Crypto ecosystem builders,"AUSTIN, TX"
